title,abstract,keywords,date,creators,url
PENGENALAN PLAT KENDARAAN BERMOTOR DENGAN TEKNIK HE GUANGLIN DAN GUO YALI,"This project proposes a technique of recognizing the license plate number using He Guanglin and Guo Yali technique. This technique resolves the problem of recognizing the license plate number with a simple and fast. This project use method of vertical projection to cut up the license plate characters and method of template matching to recognize characters. This project also uses method of check line to make process of segmentation be perfect and method of check black blocks to make process of recognition faster. Through the above methods, the numbers of license plate were recognized from a license plate image simply and quickly.","License plate recognition, He Guanglin and Guo Yali Technique, Vertical Projection, Template Matching, Check Line, Check Black Block.",2012-07,"['Supardi, Julian', 'Rodiyah, Desty']",http://repository.unsri.ac.id/9368/
PENERAPAN PENALARAN BERBASIS KASUS UNTUK MEMPREDIKSI KECOCOKAN PRODUK BAGI KONSUMEN ASURANSI,"One computational approach thal can be used to match insurance products for
consumers are Expert Systems (expert systems). Application o f Case-Based
Reasoning as a method on an expert system can provide the right solution to the
customer in the selection of insurance products. Methods o f case based reasoning
can be implemented to predict the suitability of insurance products for consumers.
Users of this Software can assist in determining the appropriate insurance product
for him.","Expert System, case base reasioning",2012-07-12,"['WAHYUNI, SRI', 'Samsuryadi, Samsuryadi', 'Mulya, Megah']",http://repository.unsri.ac.id/157044/
PENDETEKSIAN TINGKAT PENGENDALIAN EMOSI BERDASARKAN TULISAN TANGAN MENGGUNAKAN INFERENSI FUZZY MAMDANI,"Emotion Control is one of personality characteristics that can be detected through handwriting. One of the advantages is it can help the counselors who detect the emotion control of their client and in handling human resources recruitment. In this research, had been developed a software that was able to detect emotion control based handwriting using Mamdani Fuzzy Inference. Features that were used as indicator in detecting are baseline and thickness. Handwriting was feature extracted using Segmentation after being through pre-processing stage : smoothing and binerization. Number of data used were 100 samples. The results of testing that use five kinds of value range had been done by 46 %, 76 %, 81 %, 46 %, and 42 %..","Emotion Control, Handwriting, Mamdani Fuzzy Inference, Segmentation, Baseline, and Thickness.",2013-12-13,"['NAZARIYAH, SYAHRIMA FITRIANI', 'Samsuryadi, Samsuryadi', 'Supardi, Julian']",http://repository.unsri.ac.id/20375/
Diagnosis Penyakit Gigi Periodontal Menggunakan Sistem Pakar Fuzzy,"Penyakit periodontal merupakan salah satu penyakit yang sangat meluas dalam kehidupan masyarakat. Seperti dalam semua cabang medis, untuk menerapkan pengobatan yang tepat hanya mungkin dengan diagnosis yang benar dari penyakit pada kedokteran gigi tersebut. Diagnosis ini diimplementasikan dengan evaluasi pemeriksaan klinis. Namun, pemeriksaan klinis ini mengandung ketidakpastian (ambiguitas) data, sehingga diperlukan perhitungan yang tepat dalam mengukur dan menentukan kriteria keparahan peradangan pada gigi. Pada penelitian ini dikembangkan sebuah perangkat lunak untuk diagnosis penyakit gigi periodontal. Metode yang digunakan adalah sistem pakar fuzzy. Pada penelitian ini dilakukan pengukuran relatif untuk mendapatkan nilai akurasi. Pengukuran relatif yang digunakan adalah Mean Percentage Absolute Error (MAPE). Mean Absolute Percentage Error merupakan nilai tengah kesalahan persentase absolute dari suatu peramalan atau prediksi. Hasil perhitungan nilai error menunjukan nilai error yang kecil yaitu sebesar 9,91%. Oleh karena itu nilai akurasi yang didapatkan pada penelitian ini adalah sebesar 90,09%.","Periodontal, Diagnosis, Ambiguitas Data, Sistem Pakar Fuzzy.",2013-03,"['Nisa, Triana Dian', 'Primartha, Rifkie']",http://repository.unsri.ac.id/9121/
Sistem Pakar Fuzzy Untuk Diagnosis Kanker Payudara Menggunakan Metode Mamdani,"Kanker payudara merupakan salah satu penyakit kanker yang paling banyak menyebabkan kematian pada penderitanya. Di Indonesia, kanker payudara menempati urutan kedua penyebab kematian tertinggi perempuan Indonesia. Pada penelitian ini dikembangkan sistem pakar fuzzy untuk diagnosis kanker payudara menggunakan metode Mamdani, dengan data masukan berupa atribut BI-RADS (Breast Imaging-Reporting And Data System), Shape, dan Margin dari data set mammografik dalam bentuk numerik. Terdapat 3 tahap utama dalam pengembangan perangkat lunak ini, yaitu: fuzzifikasi, inferensi, dan defuzzifikasi, dengan menggunakan metode Mamdani pada tahap inferensi. Pada metode Mamdani, digunakan operator konjungsi dan disjungsi. Pada tahap defuzzifikasi, digunakan metode Centroid untuk mendapatkan keluaran yang bernilai crisp. Basis aturan yang digunakan pada penelitian ini sebanyak 125 aturan. Penelitian ini menghasilkan suatu perangkat lunak yang dapat menghasilkan diagnosa kanker payudara dengan tingkat sensitivity mencapai 84% dan tingkat specificity mencapai 91%. Perangkat lunak ini juga dapat digunakan sebagai alat pembelajaran untuk mahasiswa kedokteran.","Diagnosis Kanker Payudara, Sistem Pakar Fuzzy, Metode Mamdani, Mammografi",2013-03,"['Primartha, Rifkie', 'Fathiyah, Nurul']",http://repository.unsri.ac.id/9122/
INSTRUMEN KEBIJAKAN MAKROEKONOMI DALAM MEMPENGARUHI OUTPUT:SUATU ANALISIS APLIKASI ST. LOUIS EQUATION DI INDONESIA,"One of the indicator that measures the ability of a country is output, therefore, to increase and to stabilize the output for countries that have a mixed system, which is the government plays an important role in economy. Government has (/ role 10 make policy called macroeconomic policy, macroeconomic policy is divided into two: monetary policy and fiscal policy . Nowadays there are differences opinion between the monetarists and the fiscalist wherein each theorists believe that the policies they believe is more effective iii"" increasing output. The purpose ofthis stud), is to see which policy IS more effective in indonesia with St.Louis Equation applicatioan. Data used is the money supply ( M2 ) as 0 rool ofmonetary policy, government spending (C) as a tool offiscal policy, and the Gross Domestic Product (CDP ) as a measure ofoutput . The analytical method used is using ordinary leISI sCjugre method and produce (/ good estimation results with the classical assumption. The result shows that the monetary (lI1dfiscal policy are significant and positive affect output, the effect of fiscal policy is more effective in the long term in indonesia. Model estimation does 110t contravene the classic assumption except autocorrelation and con be overcome by transforming the model by using the scheme AR","Macroeconomic Policy M2, C, GUlP1/,SI Louis Equation",2013-12,"['Yunisvita, Yunisvita']",http://repository.unsri.ac.id/14538/
PERBAIKAN KUALITAS ORIENTASI CITRA SIDIK JARI PADA AREA YANG BERDERAU MENGGUNAKAN METODE FILTER MEDIAN,"Fingerprints are often used as one of the person's identity identifiers because of the unchanged (immutability) shape and pattern. The main obstacle in person's fingerprint image recognition is that the fingerprint often has noise that causes the fingerprint orientation unrecognizable. To improve the quality of the fingerprint image orientation, orientation smoothing process with a Median Filter method is used. The used fingerprint images have noise by the category of cut, dry, low contrast, and wet. Median Filter implements the middle value (median) to be used as a measuring value of the smoothing process. The smaller the minimum value of the median value obtained, the better the orientation of fingerprints. From the orientation smoothing result by Median Filter, it can be obtained that the lines that were not in accordance with the orientation plot changed following the proper plot. If we compare the image before orientation smoothing, the fingerprint orientation image after using Median Filter is indeed better than without.","Perbaikan kualitas citra sidik jari, estimasi orientasi, orientation smoothing, Filter Median",2015-05-20,"['ASTRIA, YUNINDYA', 'Saparudin, Saparudin', 'Fachrurrozi, Muhammad']",http://repository.unsri.ac.id/17637/
Time Complexity Analysis of Support Vector Machines (SVM) in LibSVM,"Support Vector Machines (SVM) is one of machine learning methods that can be used to perform classification task. Many researchers using SVM library to accelerate their research development. Using such a library will save their time and avoid to write codes from scratch. LibSVM is one of SVM library that has been widely used by researchers to solve their problems. The library also integrated to WEKA, one of popular Data Mining tools. This article contain results of our work related to complexity analysis of Support Vector Machines. Our work has focus on SVM algorithm and its implementation in LibSVM. We also using two popular programming languages i.e C++ and Java with three different dataset to test our analysis and experiment. The results of our research has proved that the complexity of SVM (LibSVM) is O(n3) and the time complexity shown that C++ faster than Java, both in training and testing, beside that the data growth will be affect and increase the time of computation.","SVM, LibSVM, C++, Java, WEKA, Data Mining",2015-10-01,"['Abdiansah, Abdiansah', 'Wardoyo, Retantyo']",http://repository.unsri.ac.id/8327/
APLIKASI PENGOLAHAN DATA HEWAN TERNAK PADA DINAS PETERNAKAN KABUPATEN PALI BERBASIS WEB,"Aplikasi yang dibuat dapat mempermudah dan mempercepat pekerjaan admin dalam mengelolah data hewan, data keluhan hewan serta data vaksin untuk hewan yang ada pada Dinas Peternakan Pali. Dalam aplikasi yang dibuat admin juga dapat melalukan pembuatan laporan keluhan hewan yang ada pada Dinas Peternakan Pali.","Aplikasi web, Penglahan data hewan",2015-07-06,"['HASIBUAN, LILA LISTIANI', 'Sazaki, Yoppy', 'Primanita, Anggina']",http://repository.unsri.ac.id/16751/
DIAGNOSIS DINI PENYAKIT DIABETES MELLITUS MENGGUNAKAN CASE BASED REASONING,"Tujuan dari penelitian ini adalah mengembangkan perangkat lunak yang dapat mendiagnosis penyakit diabetes mellitus. Metode yang digunakan adalah Case Based Reasoning (CBR). Permasalahan yang akan dipecahkan adalah bagaimana menerapkan metode Case Based Reasoning (CBR) yang dapat dipakai untuk melihat kesamaan antara kasus baru dengan kasus lama. Proses diagnosis dilakukan dengan cara memasukkan kasus baru yang berisi gejala-gejala dan faktor risiko yang merupakan parameter input ke dalam sistem, kemudian perangkat lunak melakukan perhitungan kesamaan kasus baru dengan kasus lama. Metode yang dipakai untuk melihat kesamaan antara kasus baru dengan kasus lama adalah cosine similarity. Penentuan hasil diagnosis dilakukan dengan menggunakan solusi yang dimiliki oleh kasus dengan nilai similarity paling tinggi. Jika suatu kasus tidak berhasil didiagnosis, maka akan dilakukan revisi kasus oleh pakar. Kasus yang berhasil direvisi akan disimpan ke dalam sistem untuk dijadikan pengetahuan baru bagi sistem. Kesimpulan dari penelitian ini adalah metode Case Based Reasoning (CBR) dapat diterapkan untuk mendiagnosis penyakit diabetes mellitus dengan menghasilkan tingkat kecocokan sebesar 94% terhadap tujuh belas data kasus uji.","Case Based Reasoning, cosine similarity, diagnosis, pakar, diabetes mellitus",2015-07-14,"['SUSANTI, EKA YULIA', 'Supardi, Julian', 'Sazaki, Yoppy']",http://repository.unsri.ac.id/16738/
PENDETEKSIAN DUPLIKASI WILAYAH FOTO DIGITAL MENGGUNAKAN SCALE INVARIANT FEATURE TRANSFORM DAN NEAREST NEIGHBOR,"Copy – move forgery is one of digital photo forgery techniques that is hard to detect by naked eyes, because the forged part came from the same digital photo and blended with the background, especially when rotation and scaling were performed to the forged parts. In this research it is proposed a system to detect fake digital photos, which are original digital photos that has been tempered with copy – move forgeries involving process of translation, rotation or scaling. The input image is a RGB (Red, Green, and Blue) color digital photo that come from CoMoFoD database. At first, the input image is pre-processed into a grayscale image. Then, a feature extraction process is carried out by using Scale Invariant Feature Transform that produce a set of keypoint. After keypoints are found, then the matching process is performed by Nearest Neighbor method, where each keypoint is matched to each other to get the closest distance by using Euclidean Distance and Canberra Distance. The software in this research is developed using the Rational Unified Process method. The experiment and observation results shows that the accuracy of using Nearest Neighbor method with Canberra Distance is higher than the Nearest Neighbor with Euclidean Distance. Overall, fake digital photo with the type of translation is easier to detect than the type of rotation and scalin.","Pemalsuan foto digital, Deteksi Pemalsuan Salin – Pindah, Scale
Invariant Feature Transform, Euclidean Distance, Canberra Distance.",2016-02-05,"['ANUGRAH, ADHITYAH', 'Samsuryadi, Samsuryadi', 'Satria, Hadipurnawan']",http://repository.unsri.ac.id/23990/
PENGELOMPOKAN DOKUMEN BERITA MENGGUNAKAN FUZZY C-MEANS,"News is presented in the amount and type of which many will be difficult grouped manually for news should be read carefully one by one. This then led to a search of news difficulty in finding the appropriate information. This study implements Fuzzy C-Means to classify documents in Indonesian language news by viewing common content words in a document. Fuzzy C-Means method of classifying the data into clusters based on the degree of membership that allows data to be able to enter more than one cluster. The principle of this grouping is to minimize the value of the objective function to determine the value of the degree of initial membership. The greater the degree of membership in a cluster of data, the greater the data into the cluster members. Results of tests on 200 datasets extracted from online media shows the level of accuracy highest fmeasure 0.98. accuracy values obtained during the experiment showed results obtained is highly dependent on the number of variations of the words used in
weighting.","pengelompokan berita, fuzzy c-means",2016-03-18,"['ASTUTI, DWI', 'Primartha, Rifkie']",http://repository.unsri.ac.id/23197/
DENOISING CITRA MENGGUNAKAN METODE ESTIMASI THRESHOLD UNTUK CITRA KAMERA VGA,"The development of smartphone technology had a significant growth in line with the growth of digital cameras which is being the main smartphone accessories. An eight (8) mega pixel smartphone camera can produce a good digital image. But in some smartphones are still found the Video Graphics Array (VGA) camera on the front camera where by the size of VGA camera which is 480 x 640 pixel, has a less good quality of camera so that it is “rentan” to produce a noisy image. Noise that produced in the result of VGA camera is reducing quality the of image. Therefore a software to remove noise that contained in the image is needed. This study will be built a software to eliminate noise using Threshold Estimation method. Threshold Estimation method is a noise removal method that reduces the signal noise in the image. The software is built with the Rational Unified Process (RUP) method. The result of this study indicates that noise removal method using Threshold Estimation method better than Gaussian method.","Kamera Smartphone, Video Grapichs Array, Citra Noise, Threshold.",2016-04-04,"['AVADIANTO, RICKY DWI', 'Saparudin, Saparudin']",http://repository.unsri.ac.id/23196/
PERBANDINGAN METODE SIMPLE MULTI ATTRIBUTE RATING TECHNIQUE EXPLOITING RANK (SMARTER) TERHADAP METODE SIMPLE MULTI ATTRIBUTE RATING TECHNIQUE (SMART) DALAM PEMILIHAN LOKASI TEMPAT PEMBUANGAN AKHIR (TPA),"SMARTER and SMART Method is considered to provide optimal results in determining the number of alternative criteria and sub-criteria. SMARTER method was able to provide quality value is more objective than the SMART method. Because of at this stage of the weighting SMARTER method, there is the implementation of Rank Order Centroid (ROC) where the weighting is determined by priority criteria and sub-criteria exist. this is very different from the SMART method that applies a subjective weighting of the decision maker. Testing is done by taking two samples, namely Sukawinatan landfill and Karya Jaya landfill. where landfill Sukawinatan top priority alternative with a value of 183.1179 for SMART method and 94.4100 for SMARTER method followed TPA Karya Jaya with a value of 170.6042 for SMART method and 88.4980 for SMARTER method. When the test is followed by the insertion of different weights on one tested sample, the result of SMARTER method tends to produce a consistent value, while the SMART method inconsistent. As for the condition when the value of the indicator sub-criteria that included remains constant.","Decision Support System, SMART, SMARTER",2016-01-09,"['FIRDAUS, IMAM', 'Efendi, Rusdi', 'Al Farissi, Al Farissi']",http://repository.unsri.ac.id/17784/
PERBANDINGAN ALGORITMA FLOYD WARSHALL DAN ALGORITMA A* DALAM PENCARIAN RUTE TERPENDEK MENUJU LOKASI RUMAH SAKIT DI PALEMBANG,"The issue of the shortest route search optimization is often encountered in everyday life. This issue can be resolved properly and efficiently using specific algorithms. This research was conducted to compare processing time of Floyd Warshall algorithm and A* algorithm to find the shortest route to Palembang general hospitals. Name and location of destination hospitals obtained with help of google maps. Based on analysis of the algorithms concluded that the value of asimptotik time complexity A* algorithm is O(n) that is smaller than Floyd Warshall algorithm with complexity value O(n^3) so the result show A* algorithm is faster. It is proven from the result of search time by utilizing software where search time route to the hospital using the A* algorithm with average time 0.039385 second is faster than Floyd Warshall algorithm with average time 0.079425 second.
The software from this research result is expected later can help providing solution
to find shortest route to hospitals in Palembang","Shortest Route Search, Floyd Warshall, A*, Google Maps",2016-04-15,"['HUTAGALUNG, TOGI MARTUA', 'PRIMARTHA, RIFKIE', 'SAZAKI, Yoppy']",http://repository.unsri.ac.id/39384/
KOMPRESI CITRA MENGGUNAKAN MODIFIKASI ALGORITMA PENCARIAN HARMONI (HSA),"The digital image is two-dimensional signal that is represented by the digital system. The rapid development of image capturing technology makes the images have a larger size, thus requiring more storage space as well and transfer the image from one device to another becomes slow. This can be overcome by compressing the image. However, the image compression can reduce image quality. Therefore we need a software that can compress images and still maintain image quality. In this study, developed a software that can compress the image and maintain the quality using the Improved Harmony Search Algorithm (IHSA). IHSA is the development of Harmony Search Algorithm (HSA), which is an algorithm for optimization metaheuristic inspired by the music. HSA uses fixed value for two parameters, namely Pitch Adjustment Rate (PAR) and Bandwidth (bw). IHSA modified those parameters, so the values change dynamically with number of the generation vector solution. The results from this study shows success image compression using IHSA instead of using HSA and suitable for lossy image
compression.","Image compression, Harmony Search Algorithm, Improved Harmony Search Algorithm, Pitch Adjustment Rate, Bandwidth.",2016-02-26,"['KURNIAWAN, ADE', 'Saparudin, Saparudin']",http://repository.unsri.ac.id/40852/
PENGENALAN KARAKTER KOREA (HANGEUL) TULISAN TANGAN MENGGUNAKAN ZONE CENTROID AND ZONE (ZCZ) DAN BACKPROPAGATION,"Research in Handwritten charcter recognition is popular for various practical application in daily life activity but research in latin character is more than in nonlatin character. Korean character (Hangul) is composed in two dimensional space which is horizontal and vertical while Latin is composed in one dimensional space only. This research using Zone Centroid and Zone (ZCZ) as feature extractor and backpropagation as training and testing method. Training stage is started by choosing the training data, then the data is computed in preprocessing stage such as scaling, grayscaling, thresholding, and thinning. Next, the data’s feature will be obtained using Zone Centroid and Zone, so the feature could be the input of the training and testing phase using backpropagation. We obtained 100% recognition rate of training data and 89% recognition rate of testing data in italic and straight variation of data","Pengenalan karakter tulisan tangan, backpropagation, Zone Centroid and Zone (ZCZ), dan Hangul",2016-01-09,"['MAHARANI, DWI', 'Saparudin, Saparudin', 'Satria, Hadipurnawan']",http://repository.unsri.ac.id/17790/
PENCARIAN JALUR TERPENDEK MENUJU MASJID MENGGUNAKAN BEE COLONY OPTIMIZATION,"Travelling Salesman Problem (TSP) adalah masalah untuk mendapatkan rute terpendek dan harus melewati semua kota dengan masing-masing kota hanya boleh dilewati satu kali sampai orang tersebut kembali ke kota asalnya. Salah satu contoh objek TSP bisa berupa masjid. Masjid telah menjadi salah satu tempat tujuan yang sering dikunjungi oleh masyarakat, tetapi tidak semua masjid dapat dijangkau dan diketahui lokasinya oleh pengunjung. Penelitian ini menggunakan Bee Colony Optimization (BCO) sebagai metode untuk mencari rute terpendek masjid. Faktor masukan berupa nama, alamat, longitude dan latitude masjid yang didapat menggunakan Google Maps. Hasil penelitian ini menunjukkan bahwa jumlah masjid serta jumlah proses mempengaruhi hasil perhitungan untuk mendapatkan fitness terbaik dan juga penelitian ini menunjukkan penggunaan Bee Colony Optimization (BCO) dapat mencari rute terpendek masjid.","Rute Terbaik, Latitude, Longitude, Bee Colony Optimization,",2016-05-30,"['MONITA, PUTERI DINDA', 'Primartha, Rifkie']",http://repository.unsri.ac.id/40881/
TEMU KEMBALI INFORMASI OBJEK WISATA KOTA PALEMBANG BERBASIS ONTOLOGY MENGGUNAKAN NEW LAYER SEMANTIC 2005,"Semantic Web merupakan web generasi ketiga yang dapat memahami makna suatu informasi untuk meningkatkan relevansi hasil pencarian. Komponen penting dalam Semantic Web adalah ontology sebagai media penyimpanan database yang terintegrasi. Ontology dibangun dengan beberapa standar penulisan disebut Layer Semantic yang berisi XML, RDF, dan OWL. Pada penelitian ini, ontology dikembangkan menggunakan New Layer Semantic 2005 berbasis SWRL dengan pembuatan aturan untuk menghubungkan fakta-fakta serta hubungan sebab dan akibat. Model ontology dirancang menggunakan Protégé dan hasilnya diimplementasikan kedalam bahasa pemrograman Java Server Pages (JSP) dengan memasukkan Library JESS. Data objek wisata kota Palembang dikumpulkan secara primer dan sekunder yang diperoleh dari berbagai sumber yaitu: Paper, Person, dan Place. Dari hasil pengujian kuisioner terhadap 20 pengguna dan 100 data uji diperoleh nilai Recall and Precision sebesar 0,86% serta nilai tingkat kepuasan pengguna sebesar 7,25. Hal ini menunjukkan bahwa Semantic Web dapat diterapkan sebagai aplikasi pencarian informasi objek wisata kota Palembang yang relevan dan terintegrasi dengan baik.","Semantic Web, Ontology, New Layer Semantic 2005, SWRL, Protégé, Java Server Pages (JSP), Library JESS, Recall and Precision",2016-05,"['QURNIATY, SITI ISMI KARISNA', 'Fachrurrozi, Muhammad', 'Yunita, Yunita']",http://repository.unsri.ac.id/20407/
